いちえん	一圓	副詞	
いちでふ	一帖	名詞	
いつかくせんきん	一攫千金	名詞	一攫千金>>一獲千金
いちらん	一覽	名詞サ変	
ひとへ	一重	名詞	
しちてんばつたう	七顛八倒	名詞	七顛八倒>>七転八倒（國）
ぢやうぶ	丈夫	名詞形動	
さんさ	三叉	名詞	
さんさろ	三叉路	名詞	三叉路>>三差路（新）
さんごくし	三國志	固有名詞	
さんげん	三絃	名詞	三絃>>三弦（國）
うはまへ	上前	名詞	
かみのく	上句	名詞	
うへ	上	名詞	
うはむき	上向	名詞	
うはまは	上囘	動詞ラ行五段	
うはぬり	上塗	名詞	
うはばき	上履	名詞	
うはつぱり	上つ張り	名詞	
うはやく	上役	名詞	
うはて	上手	名詞	
じやうず	上手	名詞形動	
うはず	上擦	動詞ラ行五段	
うはがき	上書き	名詞	
うはすべり	上滑	名詞	
うはずみ	上澄	名詞	
うはめ	上目	名詞	
うはめづかひ	上目遣	名詞	
うはぎ	上着	名詞	
うはづみ	上積	名詞	
うはのそら	上の空	名詞	
うはぜ	上背	名詞	
うはてうし	上調子	名詞	
うはべ	上邊	名詞	
うはつら	上面	名詞	
しものく	下句	名詞	
げこくじやう	下尅上	名詞	下尅上>>下克上（國）
ふぐあひ	不具合	名詞	エラー
ぶかつかう	不恰好	名詞形動	不恰好>>不格好（新）
ふだん	不斷	名詞	
ふえう	不要	名詞	
せかいぢゆう	世界中	名詞	
さんじふ	丗	数	
きうりよう	丘陵	名詞	
ちゆうらうゐ	中勞委	名詞	
ちゆうらうい	中勞委	名詞	ちゆうらうゐ
ちゆうごくじん	中國人	固有名詞	差別用語
ちゆうごく	中國	地名	差別用語
ちゆうあう	中央	名詞	
ちゆうがく	中學	名詞	
ちゆうし	中止	名詞サ変	
あか	丹	形容詞	
しゆかんすう	主函數	名詞	
しゆ	主	名詞	單漢字
しゆだい	主題	名詞	
くをん	久遠	名詞	
のりかへ	乘換	動詞一段	
じようば	乘馬	名詞サ変	
にゆうさん	乳酸	名詞	
かんりう	乾溜	名詞	乾溜>>乾留（國）
れうしよう	了承	名詞サ変	うけたまはること
